ID_PI,KPI,PI,Gebied,Eenheid,Ref_value_year,Ref_value_month,total-2009,total-2010,total-2011,total-2012,total-2013,total-2014,Date,Value
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Aug/10,9.8
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Sep/10,2.5
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Oct/10,0.2
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Nov/10,0.4
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Dec/10,9.8
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Jan/11,3.7
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Feb/11,4.2
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Mar/11,2.8
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Apr/11,8.0
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,May/11,3.6
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Jun/11,4.3
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Jul/11,6.5
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Aug/11,9.9
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Sep/11,8.6
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Oct/11,2.9
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Nov/11,8.8
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Dec/11,8.0
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Jan/12,5.7
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Feb/12,7.9
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Mar/12,6.5
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Apr/12,6.3
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,May/12,9.5
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Jun/12,5.6
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Jul/12,0.2
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Aug/12,7.8
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Sep/12,9.4
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Oct/12,8.7
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Nov/12,5.1
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Dec/12,4.3
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Jan/13,6.9
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Feb/13,4.9
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Mar/13,1.2
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Apr/13,3.6
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,May/13,0.9
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Jun/13,8.9
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Jul/13,1.9
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Aug/13,5.7
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Sep/13,1.7
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Oct/13,4.1
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Nov/13,3.8
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Dec/13,5.7
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Jan/14,9.0
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Feb/14,2.6
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Mar/14,0.6
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Apr/14,9.7
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,May/14,2.9
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Jun/14,9.7
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Jul/14,4.1
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Aug/14,0.5
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Sep/14,7.7
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Oct/14,4.4
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Nov/14,5.3
33,OMGEVINGSEFFECT,Water in tunnels,Haven,aantal/maand,60.0,6.0,64.0,50.0,71.2,77.1,49.3,46.0,Dec/14,9.8
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Jan/09,2.6
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Feb/09,2.0
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Mar/09,2.7
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Apr/09,7.3
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,May/09,4.8
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Jun/09,10.0
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Jul/09,8.6
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Aug/09,7.7
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Sep/09,1.7
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Oct/09,5.3
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Nov/09,7.4
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Dec/09,5.1
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Jan/10,7.7
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Feb/10,7.2
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Mar/10,0.7
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Apr/10,9.1
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,May/10,4.6
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Jun/10,1.7
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Jul/10,1.8
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Aug/10,6.3
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Sep/10,5.1
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Oct/10,7.9
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Nov/10,9.5
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Dec/10,5.7
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Jan/11,5.7
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Feb/11,2.6
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Mar/11,9.8
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Apr/11,5.8
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,May/11,6.4
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Jun/11,2.7
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Jul/11,2.5
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Aug/11,3.5
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Sep/11,0.8
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Oct/11,7.8
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Nov/11,4.4
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Dec/11,6.2
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Jan/12,8.2
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Feb/12,2.6
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Mar/12,9.2
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Apr/12,8.0
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,May/12,4.1
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Jun/12,8.0
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Jul/12,3.2
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Aug/12,6.2
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Sep/12,2.3
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Oct/12,3.4
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Nov/12,9.2
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Dec/12,9.4
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Jan/13,3.2
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Feb/13,3.8
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Mar/13,1.3
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Apr/13,0.7
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,May/13,0.9
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Jun/13,7.4
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Jul/13,2.9
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Aug/13,7.2
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Sep/13,0.4
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Oct/13,3.5
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Nov/13,1.8
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Dec/13,5.1
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Jan/14,9.5
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Feb/14,3.9
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Mar/14,2.2
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Apr/14,2.0
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,May/14,0.3
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Jun/14,3.9
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Jul/14,4.1
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Aug/14,4.8
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Sep/14,5.7
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Oct/14,10.0
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Nov/14,1.3
33,OMGEVINGSEFFECT,Water in tunnels,Stad,aantal/maand,50.0,9.0,65.1,67.2,58.2,73.9,38.2,46.0,Dec/14,7.9
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Jan/09,0.1
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Feb/09,1.0
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Mar/09,8.5
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Apr/09,6.6
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,May/09,0.8
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Jun/09,4.6
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Jul/09,4.0
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Aug/09,4.4
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Sep/09,6.0
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Oct/09,4.2
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Nov/09,9.6
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Dec/09,3.4
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Jan/10,7.6
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Feb/10,5.6
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Mar/10,0.1
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Apr/10,9.6
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,May/10,1.5
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Jun/10,8.2
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Jul/10,7.8
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Aug/10,3.6
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Sep/10,3.5
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Oct/10,0.8
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Nov/10,5.2
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Dec/10,7.3
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Jan/11,4.9
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Feb/11,3.1
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Mar/11,3.3
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Apr/11,4.5
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,May/11,3.8
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Jun/11,1.1
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Jul/11,0.8
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Aug/11,9.6
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Sep/11,0.2
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Oct/11,5.8
33,OMGEVINGSEFFECT,Water in tunnels,Buiten,aantal/maand,86.0,8.0,53.1,60.9,55.4,68.9,62.8,47.0,Nov/11,9.8
